graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,0,0,True,False,False,0.0,0.0,0.0,1.0,0.0,72.681709,81.428566,1.9
0,1,0,True,False,False,0.0,0.0,0.0,1.0,0.0,25.97479,46.934458,1.9
0,2,0,True,False,False,0.0,0.0,0.0,1.0,0.0,99.237221,32.036996,1.9
0,3,0,True,False,False,0.0,0.0,0.0,1.0,0.0,64.779722,59.419609,5.7
0,4,0,True,False,False,0.0,0.0,0.0,1.0,0.0,29.194963,21.261208,5.7
0,5,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.754617,13.925993,9.5
0,6,0,True,False,False,1.0,0.0,0.0,0.0,0.0,43.16876,88.317322,-3.0
0,7,0,True,False,False,0.0,0.0,0.0,1.0,0.0,64.779722,62.594205,1.9
0,8,0,True,False,False,0.0,0.0,0.0,1.0,0.0,74.440242,53.070414,5.7
0,9,0,True,False,False,1.0,0.0,0.0,0.0,0.0,76.971477,66.538713,-3.0
0,10,0,True,False,False,0.0,0.0,0.0,1.0,0.0,83.136357,32.036996,13.3
0,11,0,True,False,False,0.0,0.0,0.0,1.0,0.0,71.220069,43.546619,5.7
0,12,0,True,False,False,0.0,0.0,1.0,0.0,0.0,35.081802,46.721218,9.5
0,13,0,True,False,False,0.0,0.0,0.0,1.0,0.0,59.974565,78.762569,1.9
0,14,0,True,False,False,0.0,0.0,0.0,1.0,0.0,89.576702,32.036996,1.9
0,15,0,True,False,False,1.0,0.0,0.0,0.0,0.0,85.422157,15.721958,-3.0
0,16,0,True,False,False,0.0,0.0,0.0,1.0,0.0,63.021193,81.428566,9.5
0,17,0,True,False,False,0.0,0.0,0.0,0.0,1.0,65.635946,75.932595,9.5
0,18,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.754617,13.925992,1.9
0,19,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.534443,21.261207,5.7
0,20,0,True,False,False,0.0,0.0,0.0,1.0,0.0,76.69601,32.036996,1.9
0,21,0,True,False,False,0.0,0.0,0.0,1.0,0.0,86.356529,21.034175,9.5
0,22,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.534443,17.5936,1.9
0,23,0,True,False,False,1.0,0.0,0.0,0.0,0.0,68.520798,30.241032,-3.0
0,24,0,True,False,False,0.0,0.0,0.0,1.0,0.0,99.237221,24.701782,13.3
0,25,0,True,False,False,1.0,0.0,0.0,0.0,0.0,26.267402,73.798248,-3.0
0,26,0,True,False,False,0.0,0.0,0.0,1.0,0.0,31.780201,17.5936,1.9
0,27,0,True,False,False,0.0,0.0,0.0,1.0,0.0,105.30817,21.034175,13.3
0,28,0,True,False,False,0.0,0.0,0.0,1.0,0.0,105.30817,32.036996,5.7
0,29,0,True,False,False,1.0,0.0,0.0,0.0,0.0,26.267402,81.057785,-3.0
0,30,0,True,False,False,0.0,0.0,0.0,1.0,0.0,29.194963,21.261207,1.9
