graph_id,node_id,label,train_mask,val_mask,test_mask,feat_zoning_type_0,feat_zoning_type_1,feat_zoning_type_2,feat_zoning_type_3,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2
0,0,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,1,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,2,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,3,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,4,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,5,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,6,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,7,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,8,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,9,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,10,8,False,False,True,0,0,0,1,0.2,0.0,0.8
0,11,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,12,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,13,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,14,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,15,4,False,False,True,0,1,0,0,0.0,0.857143,0.142857
0,16,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,17,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,18,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,19,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,20,4,False,False,True,0,1,0,0,0.0,0.857143,0.142857
0,21,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,22,4,False,False,True,0,1,0,0,0.0,0.857143,0.142857
0,23,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,24,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,25,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,26,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,27,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,28,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,29,4,False,False,True,0,1,0,0,0.0,0.857143,0.142857
0,30,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,31,5,False,False,True,0,0,1,0,1.0,0.0,0.0
0,32,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,33,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,34,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,35,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,36,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,37,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,38,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,39,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,40,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,41,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,42,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,43,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,44,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,45,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,46,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,47,4,False,False,True,0,1,0,0,0.0,0.857143,0.142857
0,48,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,49,4,False,False,True,0,1,0,0,0.0,0.857143,0.142857
0,50,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,51,4,False,False,True,0,1,0,0,0.0,0.857143,0.142857
0,52,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,53,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,54,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,55,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,56,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,57,8,False,False,True,0,0,0,1,0.2,0.0,0.8
0,58,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,59,4,False,False,True,0,1,0,0,0.0,0.75,0.25
0,60,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,61,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,62,4,False,False,True,0,1,0,0,0.0,0.75,0.25
0,63,4,False,False,True,0,1,0,0,0.0,0.0,0.0
0,64,4,False,False,True,0,1,0,0,0.0,0.0,0.0
0,65,4,False,False,True,0,1,0,0,0.0,0.0,0.0
0,66,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,67,8,False,False,True,0,0,0,1,0.2,0.0,0.8
0,68,8,False,False,True,0,0,0,1,0.0,1.0,0.0
0,69,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,70,8,False,False,True,0,0,0,1,0.2,0.0,0.8
0,71,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,72,4,False,False,True,0,1,0,0,0.0,0.0,0.0
0,73,4,False,False,True,0,1,0,0,0.0,1.0,0.0
0,74,4,False,False,True,0,1,0,0,0.0,0.75,0.25
0,75,4,False,False,True,0,1,0,0,0.0,0.0,0.0
